song_id,name,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21
33,Lady Gaga - Poker Face,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
34,Nicki Minaj - Anaconda,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
35,Adele - Rolling in the Deep,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
36,Aphex Twin - Xtal,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
37,Boards of Canada - Roygbiv,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
38,Bonobo - Kong,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
39,Bonobo - Cirrus,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
40,Tycho - A Walk,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
41,Tycho - Awake,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
42,Avicii - Levels,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
43,Duke Dumont - I Got U,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
44,Swedish House Mafia - Don't You Worry Child,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
45,Eric Prydz - Call on Me,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
